Ticker,Date,Time,Open,High,Low,Close,Volume
SPY,5/21/1998,11:30,75.62,75.65,75.35,75.35,1217367
SPY,5/21/1998,12:00,75.35,75.52,75.33,75.41,251285
SPY,5/21/1998,12:30,75.41,75.54,75.39,75.41,1519298
SPY,5/21/1998,13:00,75.39,75.46,75.33,75.41,151188
SPY,5/21/1998,13:30,75.41,75.41,75.25,75.41,103367
SPY,5/21/1998,14:00,75.41,75.5,75.04,75.16,494551
SPY,5/21/1998,14:30,75.1,75.25,75.01,75.04,1281081
SPY,5/21/1998,15:00,75.04,75.31,75.04,75.08,323319
SPY,5/21/1998,15:30,75.12,75.31,74.95,75.2,769155
SPY,5/21/1998,16:00,75.25,75.25,75.16,75.2,114356
SPY,5/22/1998,9:30,75.25,75.46,75.2,75.33,1380139
SPY,5/22/1998,10:00,75.33,75.39,75.06,75.14,1208753
SPY,5/22/1998,10:30,75.1,75.14,74.93,74.99,1174893
SPY,5/22/1998,11:00,74.99,75.06,74.82,74.97,615892
SPY,5/22/1998,11:30,74.99,74.99,74.78,74.78,269257
SPY,5/22/1998,12:00,74.87,74.99,74.76,74.91,214754
SPY,5/22/1998,12:30,74.82,74.89,74.7,74.82,321683
SPY,5/22/1998,13:00,74.87,74.91,74.74,74.82,96686
SPY,5/22/1998,13:30,74.82,74.93,74.78,74.87,85397
SPY,5/22/1998,14:00,74.95,75.12,74.87,75.12,165446
SPY,5/22/1998,14:30,75.08,75.25,75.01,75.04,877719
